date_obs,co_lat,area
2015-07-20T09:43:24.70,2.564,5
2015-07-20T09:43:24.70,2.563,8
2015-07-20T09:43:24.70,2.56,4
2015-07-20T09:43:24.70,2.558,75
2015-07-20T09:43:24.70,2.567,6
2015-07-20T09:43:24.70,2.565,7
2015-07-20T09:43:24.70,2.538,14
2015-07-20T09:43:24.70,2.532,4
2015-07-20T09:43:24.70,2.548,4
2015-07-20T09:43:24.70,2.564,11
2015-07-20T09:43:24.70,2.564,9
2015-07-20T09:43:24.70,2.565,5
2015-07-20T09:43:24.70,2.54,19
2015-07-20T09:43:24.70,2.566,6
2015-07-20T09:43:24.70,2.558,5
2015-07-20T09:43:24.70,2.55,107
2015-07-20T09:43:24.70,2.556,13
2015-07-20T09:43:24.70,2.564,4
2015-07-20T09:43:24.70,2.549,9
2015-07-20T09:43:24.70,2.547,14
2015-07-20T09:43:24.70,2.53,9
2015-07-20T09:43:24.70,2.528,6
