filename,obsdate,exptime,sunagl,seeing,ccfjdsum,ccfrvmod,dvrms
neidL2_20210513T191900.fits,5/13/21 19:19,54.818614,76.5967,0,2459348.3,-0.641,2.00E-04
neidL2_20210512T192538.fits,5/12/21 19:25,54.815757,76.3639,0,2459347.305,-0.6403,2.00E-04
neidL2_20210512T192404.fits,5/12/21 19:24,54.777846,76.3759,0,2459347.304,-0.6413,2.00E-04
neidL2_20210512T192231.fits,5/12/21 19:22,54.842776,76.3788,0,2459347.303,-0.6396,2.00E-04
neidL2_20210512T192058.fits,5/12/21 19:20,54.686863,76.3727,0,2459347.302,-0.6395,2.00E-04
neidL2_20210512T191924.fits,5/12/21 19:19,54.819973,76.3575,0,2459347.3,-0.6407,2.00E-04
neidL2_20210511T192452.fits,5/11/21 19:24,54.821487,76.121,0,2459346.304,-0.6398,2.00E-04
neidL2_20210511T192319.fits,5/11/21 19:23,54.832673,76.1283,0,2459346.303,-0.6409,2.00E-04
neidL2_20210511T192146.fits,5/11/21 19:21,54.741154,76.1267,0,2459346.302,-0.6411,2.00E-04
neidL2_20210511T192012.fits,5/11/21 19:20,54.848255,76.1163,0,2459346.301,-0.64,2.00E-04
neidL2_20210510T192501.fits,5/10/21 19:25,54.826403,75.8649,0,2459345.304,-0.6394,2.00E-04
neidL2_20210510T192328.fits,5/10/21 19:23,54.811307,75.8728,0,2459345.303,-0.6416,2.00E-04
neidL2_20210510T192155.fits,5/10/21 19:21,54.853246,75.8719,0,2459345.302,-0.6413,2.00E-04
neidL2_20210510T192021.fits,5/10/21 19:20,54.832839,75.8623,0,2459345.301,-0.6398,2.00E-04
neidL2_20210510T191847.fits,5/10/21 19:18,54.820314,75.8439,0,2459345.3,-0.6409,2.00E-04
neidL2_20210509T192535.fits,5/9/21 19:25,54.849756,75.6001,0,2459344.305,-0.6828,2.00E-04
neidL2_20210509T192402.fits,5/9/21 19:24,54.840442,75.6108,0,2459344.304,-0.6822,2.00E-04
neidL2_20210509T192229.fits,5/9/21 19:22,54.81891,75.613,0,2459344.303,-0.6826,2.00E-04
neidL2_20210509T192056.fits,5/9/21 19:20,54.791096,75.6066,0,2459344.302,-0.6828,2.00E-04
